110.0 [Titulo:Xcom 2 ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/xcom-2-xbox-one-9373369; Doc:224 ]
111.0 [Titulo:Xcom 2 ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/xcom-2-xbox-one-9373369.html; Doc:225 ]
112.0 [Titulo:Star Wars ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/star-wars-battlefront-xbox-one-9171394; Doc:230 ]
113.0 [Titulo:Star Wars ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/star-wars-battlefront-xbox-one-9171394.html; Doc:231 ]
114.0 [Titulo:Need For Speed ; Preco:R$ 161,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/need-for-speed-xbox-one-9171326; Doc:232 ]
115.0 [Titulo:Need For Speed ; Preco:R$ 161,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/need-for-speed-xbox-one-9171326.html; Doc:233 ]
116.0 [Titulo:Styx ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/styx-shards-of-darkness-ps4-9428062; Doc:234 ]
117.0 [Titulo:Styx ; Preco:R$ 179,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/styx-shards-of-darkness-ps4-9428062.html; Doc:235 ]
118.0 [Titulo:Ride 2 ; Preco:R$ 224,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ride-2-xbox-one-9416118; Doc:236 ]
119.0 [Titulo:Ride 2 ; Preco:R$ 224,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/ride-2-xbox-one-9416118.html; Doc:237 ]
120.0 [Titulo:Shaun White Snowboarding ; Preco:R$ 179,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/shaun-white-snowboarding-importado-psp-2616610; Doc:244 ]
121.0 [Titulo:Shaun White Snowboarding ; Preco:R$ 179,91; genero:esporte; desenvolvedor:null; Url:https://www.saraiva.com.br/shaun-white-snowboarding-importado-psp-2616610.html; Doc:245 ]
122.0 [Titulo:Asseto Corsa ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/asseto-corsa-ps4-9416947; Doc:248 ]
123.0 [Titulo:Asseto Corsa ; Preco:R$ 224,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/asseto-corsa-ps4-9416947.html; Doc:249 ]
124.0 [Titulo:Sword Art Online ; Preco:R$ 224,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/sword-art-online-hollow-realization-ps4-9385827; Doc:250 ]
125.0 [Titulo:Sword Art Online ; Preco:R$ 224,91; genero:RPG; desenvolvedor:null; Url:https://www.saraiva.com.br/sword-art-online-hollow-realization-ps4-9385827.html; Doc:251 ]
126.0 [Titulo:Rocket League ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/rocket-league-ps4-9416953; Doc:252 ]
127.0 [Titulo:Rocket League ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/rocket-league-ps4-9416953.html; Doc:253 ]
128.0 [Titulo:Disney Infinity 3.0 Edition ; Preco:R$ 359,91; ; desenvolvedor:null; Url:https://www.saraiva.com.br/disney-infinity-30-edition-starter-pack-ps4-9009662; Doc:256 ]
129.0 [Titulo:Disney Infinity 3.0 Edition ; Preco:R$ 359,91; ; desenvolvedor:null; Url:https://www.saraiva.com.br/disney-infinity-30-edition-starter-pack-ps4-9009662.html; Doc:257 ]
130.0 [Titulo:Sherlock Homes ; Preco:R$ 206,91; genero:Estrat?gia,Racioc?nio; desenvolvedor:null; Url:https://www.saraiva.com.br/sherlock-homes-the-devils-daughter-xbox-one-9353426; Doc:264 ]
131.0 [Titulo:Sherlock Homes ; Preco:R$ 206,91; genero:Estrat?gia,Racioc?nio; desenvolvedor:null; Url:https://www.saraiva.com.br/sherlock-homes-the-devils-daughter-xbox-one-9353426.html; Doc:265 ]
132.0 [Titulo:Rocket League ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/rocket-league-xbox-one-9416955; Doc:268 ]
133.0 [Titulo:Rocket League ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/rocket-league-xbox-one-9416955.html; Doc:269 ]
134.0 [Titulo:Sniper Elite 4 ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/sniper-elite-4-xbox-one-9400473; Doc:272 ]
135.0 [Titulo:Sniper Elite 4 ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/sniper-elite-4-xbox-one-9400473.html; Doc:273 ]
136.0 [Titulo:Snoopy?S Grand Adventure ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/snoopys-grand-adventure-xbox-one-9231476; Doc:274 ]
137.0 [Titulo:Snoopy?S Grand Adventure ; Preco:R$ 224,91; genero:acao,Aventura; desenvolvedor:null; Url:https://www.saraiva.com.br/snoopys-grand-adventure-xbox-one-9231476.html; Doc:275 ]
138.0 [Titulo:Call Of Duty ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/call-of-duty-black-ops-iii-ps3-9201735; Doc:276 ]
139.0 [Titulo:Call Of Duty ; Preco:R$ 206,91; genero:Tiro,Guerra; desenvolvedor:null; Url:https://www.saraiva.com.br/call-of-duty-black-ops-iii-ps3-9201735.html; Doc:277 ]
140.0 [Titulo:Power Rangers Super Megaforce ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/power-rangers-super-megaforce-3ds-8261648; Doc:278 ]
141.0 [Titulo:Power Rangers Super Megaforce ; Preco:R$ 152,91; genero:Corrida,Simuladores; desenvolvedor:null; Url:https://www.saraiva.com.br/power-rangers-super-megaforce-3ds-8261648.html; Doc:279 ]
